County	Senate_R	Senate_D	Gov_R	Gov_D	LtGov_R	LtGov_D	AG_R	AG_D	area_(mi^2)	pop	Total_Male	Total_Female	Anglo_Total	Anglo_Male	Anglo_Female	Black_Total	Black_Male	Black_Female	Other_Total
Leon	5709	854	5778	751	5418	1065	5585	875	692	17407	8788	8619	13207	6634	6573	1122	548	574	310
Liberty	16013	4402	16497	3798	15815	4333	15568	4438	931	80699	39723	40976	52424	25679	26745	8275	3914	4361	2115
Limestone	5193	1666	5309	1527	4829	1897	5044	1700	883	24012	12555	11457	14074	7173	6901	4033	2060	1973	561
Lipscomb	941	116	946	109	828	209	877	163	992	3453	1792	1661	2176	1106	1070	9	3	6	72
Live_Oak	2865	562	2944	471	2743	623	2763	604	923	11794	6334	5460	6796	3482	3314	458	436	22	222
Llano	7885	2111	8218	1739	7612	2222	7683	2156	904	19980	9664	10316	17738	8575	9163	117	69	48	380
Loving	46	6	46	9	43	11	44	9	1364	81	44	37	60	33	27	0	0	0	4
Lubbock	58709	31976	61696	27192	56379	31498	57550	30480	729	301706	150273	151433	160893	79594	81299	21987	11005	10982	13438
Lynn	1368	323	1379	302	1159	480	1282	364	962	5997	3014	2983	2884	1412	1472	115	67	48	78
Madison	3032	778	3080	721	2767	992	2920	827	512	8244	4081	4163	5325	2594	2731	119	59	60	138
Marion	2443	1012	2547	934	2414	1039	2440	1021	1251	251352	123219	128133	135262	66060	69202	37429	17704	19725	9631
Martin	1297	243	1303	229	1179	324	1247	260	1331	866	441	425	495	249	246	10	6	4	8
Mason	1560	402	1605	333	1468	444	1502	409	928	14273	8169	6104	8140	4293	3847	2692	1765	927	376
Matagorda	7326	3042	7698	2667	7191	3061	7118	3061	490	10191	5051	5140	7149	3593	3556	2302	1084	1218	381
Maverick	2950	7724	3493	6939	2959	7093	2770	7134	950	5622	2884	2738	2923	1491	1432	70	31	39	82
McCulloch	2244	400	2274	368	2141	466	2200	417	514	4094	2015	2079	3059	1464	1595	16	8	8	39
McLennan	45836	28426	49174	24716	44863	28133	44702	28003	836	36489	18426	18063	16068	8067	8001	3995	1909	2086	1182
McMullen	387	41	395	33	361	55	375	43	1106	56956	28072	28884	1762	975	787	69	43	26	857
Medina	11434	4613	12046	3957	11422	4443	11255	4543	232	50502	25696	24806	22529	11036	11493	918	792	126	937
Menard	629	144	644	128	588	163	604	151	919	2289	1204	1085	1345	678	667	14	11	3	15
Midland	31167	9085	32292	7544	30601	8653	30818	8405	914	162105	80733	81372	77968	38818	39150	9999	4906	5093	5561
Milam	5905	1981	6061	1782	5620	2129	5670	2066	900	24445	12188	12257	15105	7460	7645	2407	1176	1231	458
Mills	1763	229	1789	206	1603	357	1698	257	769	5028	2509	2519	3959	1939	2020	27	14	13	79
Mitchell	1584	323	1594	298	1455	401	1503	352	1793	8698	5328	3370	4208	2243	1965	918	819	99	126
Montague	6422	940	6560	765	6238	1008	6273	950	910	19717	9799	9918	16848	8367	8481	44	31	13	426
Montgomery	137231	51124	144490	42930	137449	48507	135957	49107	1232	557340	272566	284774	364978	175567	189411	24021	11516	12505	25853
Moore	3244	786	3264	747	2999	950	3156	807	1242	22722	11849	10873	7545	3713	3832	362	232	130	2271
Morris	3063	1320	3127	1213	2823	1488	2941	1366	1497	12942	6360	6582	8227	4046	4181	3007	1440	1567	445
Motley	483	41	488	34	451	70	468	45	1124	1112	558	554	924	460	464	21	13	8	7
Nacogdoches	13766	7721	14399	6835	13229	7656	13517	7231	1489	65596	31813	33783	37414	17954	19460	11940	5456	6484	2518
Navarro	10383	3913	10810	3407	10104	4001	10068	3984	2358	49338	24728	24610	27678	13696	13982	6214	2998	3216	1770
Newton	3660	993	3771	870	3545	1038	3532	1036	899	13969	7247	6722	10302	5271	5031	2862	1543	1319	381
