name, g, bp-rp, mem
604957417931757440, 16.445,  2.623, N
604897696411107840, 17.883,  1.921, N
605058091964708352, 19.739,  2.344, N
604924497007195904, 18.934,  1.529, N
605056889373865344, 17.603,  1.937, N
604908798902336000, 18.835,  0.683, N
604947625406360960, 15.302,  1.138, N
605026755883804032, 18.280,  2.131, N
604847290674781696, 18.332,  2.168, N
604894196013526272, 15.875,  1.403, Y
604915842648490496, 19.214,  1.584, N
605057606633065344, 18.500,  2.033, N
604930445537379712, 17.571,  1.787, Y
604916083166650752, 17.714,  1.868, Y
605023453054095232, 19.565,  1.911, N
604975697312683136, 14.506,  0.853, N
604896150222841088, 13.297,  0.735, Y
604908352225725568, 12.617,  1.347, N
605028022899401728, 18.884,  0.858, N
604914021582551168, 14.479,  0.866, Y
604996927335710080, 18.359,  2.005, Y
604894264732996096, 19.298,  2.398, N
604963911922477696, 17.770,  1.908, N
604985592917404672, 17.633,  0.752, N
605027924114914304, 17.591,  1.862, N
605005177968109568, 17.919,  2.829, N
605032012923382528, 14.134,  0.841, N
605040014446858240, 16.894,  1.286, N
604985245024226816, 17.528,  1.092, N
605024449486511744, 16.884,  1.508, N
604966523262611968, 16.964,  0.896, N
604993869318584960, 18.496,  2.109, N
604941062696492288, 15.586,  0.701, N
604964289879596288, 18.879,  1.751, N
604901957018617728, 13.990,  0.798, Y
605048230719894016, 16.579,  1.051, N
604985558557664896, 15.723,  1.315, N
604997721904894976, 15.333,  0.842, N
604991708950807936, 15.660,  1.435, N
604964324239332480, 18.985,  0.664, N
604972428842241024, 17.378,  1.665, N
605003666139633280, 18.067,  2.077, N
605037952862556032, 19.327,  2.426, N
605064203702890368, 18.542,  0.733, N
605116091203079680, 17.738,  2.099, N
605121897998890624, 16.870,  1.442, N
605129079184187776, 18.981,  1.995, N
605106126878989824, 18.430,  0.912, N
605109391054118528, 19.602,  2.702, N
605112758308439936, 13.370,  0.888, N
605116945901348480, 19.190,  1.784, N
605119458457477376, 18.835,  2.553, N
605123306748180480, 16.987,  1.754, N
605116877181866880, 19.513,  1.835, N
605120008213296640, 17.343,  0.889, N
605120970285960704, 18.452,  2.022, N
605134091410829568, 18.806,  1.862, N
605105435388888832, 19.434,  1.179, N
605102480451378816, 18.304,  0.835, N
605107462613473792, 18.622,  1.405, N
605132686956618112, 13.614,  0.613, N
605128971814813312, 16.932,  0.902, N
605125089159188352, 10.365,  0.699, N
605123886569180800, 18.436,  1.699, N
605101449659219456, 17.034,  0.000, N
605101488314301568, 15.557,  1.642, N
605119007485575936, 19.157,  2.229, N
605115404008324352, 15.732,  0.904, N
605130689796725760, 19.496,  1.237, N
605102312948033536, 19.423,  0.764, N
608042574544217600, 16.770,  1.277, N
608129882639685376, 16.524,  0.837, N
608133254189025792, 16.116,  1.154, N
608146139090916992, 16.185,  0.872, N
608013712364146944, 19.717,  2.215, N
608028010310445056, 16.089,  1.256, N
608049278988579840, 19.630,  1.371, N
608004400874558976, 18.577,  2.287, N
608132493979796992, 19.694,  1.225, N
607997155265459584, 14.987,  0.696, N
607996777308339840, 19.134,  2.346, N
608129126725431936, 19.818,  1.798, N
607989080726449152, 18.724,  0.999, N
608128473890401792, 17.638,  2.397, N
607998357856250496, 18.660,  1.309, N
608039138570280064, 17.910,  1.917, N
607995020665971328, 17.887,  0.961, N
608027421899492864, 18.691,  2.172, N
608044395610346240, 15.479,  0.750, N
608135762449978880, 19.642,  0.890, N
608146207810438784, 19.576,  2.535, N
608004886206579840, 16.798,  1.100, N
608008871936229760, 18.417,  1.622, N
608031137046619520, 13.383,  1.495, N
608039035491044864, 18.470,  2.139, N
608131978583782144, 18.037,  1.560, N
608040345456529408, 14.218,  1.013, N
608004607032994560, 18.656,  2.868, N
608030656010270592, 17.309,  1.235, N
608032339637449856, 15.663,  1.272, N
608018557086974720, 18.125,  1.254, N
608024570041161216, 16.916,  0.816, N
608001892613789056, 18.423,  0.663, N
607991515974288896, 17.712,  2.010, N
608032786314046592, 16.586,  2.066, N
608058556117409152, 19.499,  2.461, N
608000934836637824, 17.250,  0.866, N
608059140233454464, 14.097,  0.781, N
608012514068473984, 17.762,  0.910, N
608006638553300736, 19.814,  0.975, N
608013407421756288, 19.705,  1.347, N
608001862549743104, 18.485,  1.005, N
607996296271959296, 18.028,  1.410, N
608000174626855168, 18.132,  2.527, N
608135899888409088, 18.120,  1.994, N
607999835325007488, 17.530,  1.028, N
608012307910123392, 19.433,  2.388, N
608044258171165824, 13.157,  1.214, N
608000178922392320, 15.152,  0.739, N
608020549951885696, 18.991,  1.480, N
608012995104808320, 16.033,  1.019, N
607999732245794048, 18.280,  1.045, N
608040345456529280, 18.444,  2.340, N
608017663733754240, 17.864,  1.166, N
608053913257971328, 18.473,  1.537, N
608027907231320320, 15.230,  1.487, N
608031545068865152, 18.907,  1.745, N
608039997563769216, 17.735,  1.790, N
607998907612059264, 15.285,  1.038, N
608009249893355776, 15.293,  0.743, N
608052401434597760, 19.341,  2.571, N
608033061192049408, 19.414,  2.061, N
608032919458407168, 18.971,  1.656, N
607998735813364864, 18.895,  2.035, N
608052367069721344, 17.216,  1.539, N
608134491139603584, 18.353,  2.279, N
608054153776746112, 17.841,  2.121, N
608024746135295616, 18.245,  0.847, N
608019690958384896, 19.219,  0.686, N
608094320310272000, 18.505,  1.811, N
608025669552769792, 19.036,  1.046, N
608053741459889408, 18.039,  1.933, N
608046049173083008, 18.101,  1.931, N
607996944811332864, 18.116,  0.954, N
608035225855483776, 18.073,  0.741, N
608145245737717632, 17.392,  0.984, N
