name, g, bp-rp, mem
604969267746269696, 15.576,  1.141, Y
604903713659968768, 16.502,  1.593, Y
604960334214210688, 17.378,  1.759, Y
604906221921860224, 14.608,  0.947, Y
604995419802460288, 13.573,  0.750, Y
604909756679296640, 15.661,  1.142, Y
604920339478833536, 18.077,  1.996, Y
604929620903656192, 16.152,  1.676, Y
604919209902956160, 15.085,  1.012, Y
604896463756224640, 18.155,  2.122, Y
604920927889741696, 14.685,  0.981, Y
604930445537379968, 19.111,  2.467, Y
604897558972113024, 14.762,  0.996, Y
604902334975837312, 19.418,  2.296, Y
604963877562742400, 12.741,  0.713, Y
604916903504793856, 14.344,  0.852, Y
604972394482498944, 17.055,  1.821, Y
604916319389359616, 17.333,  1.821, Y
604905912684189952, 19.772,  2.146, Y
604976625025624960, 17.767,  1.909, Y
604917594995372160, 17.071,  1.693, Y
604962331374512640, 14.296,  0.857, Y
604912406674856064, 12.986,  0.753, Y
598695763635752448, 15.423,  1.075, Y
598889900452561024, 15.382,  1.075, Y
604711088672257152, 18.694,  2.370, Y
604712188183890304, 17.256,  1.707, Y
604999165013904640, 16.373,  1.383, Y
604892989126939648, 15.846,  1.415, Y
604917281461922432, 13.057,  0.761, Y
604917491915139200, 15.996,  1.146, Y
604923126912959104, 13.513,  0.814, Y
604891584673389312, 14.789,  0.941, Y
605015412874544896, 19.250,  2.482, Y
604950545984126080, 17.882,  1.915, Y
604921030968952704, 17.492,  2.033, Y
604897838145767168, 14.753,  0.941, Y
604976762464567680, 16.143,  1.396, Y
604971471064858496, 15.540,  1.125, Y
604971466769552128, 16.526,  1.474, Y
604917831217725312, 12.555,  0.776, Y
604922267919526912, 15.323,  1.051, Y
604969027228087424, 18.549,  2.257, Y
604967858996581120, 18.859,  2.218, Y
604904469575229696, 13.255,  0.739, Y
604899899730026496, 18.044,  1.979, Y
604921065328866688, 18.512,  2.301, Y
604916392404461184, 17.257,  1.689, Y
604905431647872384, 17.667,  2.113, Y
604964010706281856, 16.381,  1.426, Y
604921374566323200, 13.734,  0.760, Y
604917972952400256, 15.316,  1.055, Y
604894913272281856, 18.689,  2.408, Y
604918247830311552, 14.720,  0.940, Y
604984935786576896, 18.470,  2.044, Y
604905019331023104, 16.229,  1.479, Y
604912063077484032, 15.620,  1.113, Y
604901407262883456, 17.189,  1.663, Y
604920786155223552, 13.625,  0.762, Y
604996106997219712, 15.504,  1.139, Y
604971088812177280, 14.298,  0.855, Y
604964251224459520, 17.920,  2.051, Y
604905122410226688, 16.265,  1.385, Y
604945804340420736, 15.080,  1.001, Y
604970921309068544, 15.232,  1.064, Y
604931064012660992, 13.521,  0.749, Y
604962292719320832, 18.563,  2.073, Y
604907046555569664, 18.820,  2.097, Y
604963357876984704, 17.815,  2.194, Y
604923809818135936, 18.258,  2.078, Y
604942505805554176, 14.354,  0.851, Y
604975693017389952, 15.166,  1.012, Y
604974078109680000, 17.365,  1.842, Y
598692675554477056, 14.431,  0.862, Y
598884952650222336, 13.161,  0.739, Y
598883642685066368, 19.004,  2.296, Y
598959234109103104, 16.766,  1.530, Y
598902235598635776, 19.298,  2.340, Y
598959921303885952, 18.482,  2.341, Y
604703941846497280, 13.153,  0.741, Y
604713669947377024, 17.615,  1.890, Y
604924668805890816, 17.722,  2.074, Y
604999779194000640, 17.936,  2.228, Y
604970783870102912, 18.503,  2.176, Y
604917453260607488, 13.642,  0.857, Y
604911685120320512, 14.927,  0.991, Y
604918140455366528, 14.248,  0.853, Y
604969031523465728, 13.515,  0.750, Y
604969237681908480, 16.795,  1.512, Y
604901823875341056, 12.259,  1.133, Y
604976453226906880, 16.704,  1.522, Y
604910546953300608, 16.642,  1.465, Y
604916632922617088, 14.042,  0.806, Y
604902923387005696, 14.458,  0.886, Y
604984420390494976, 16.627,  0.933, Y
604921271487287296, 12.675,  0.755, Y
604920549932808320, 14.000,  0.790, Y
604916598562882048, 14.420,  0.904, Y
604907454576711040, 13.234,  0.745, Y
604972394482498304, 18.941,  2.214, Y
604916598562883968, 16.000,  1.419, Y
604950786502478720, 15.070,  0.998, Y
605016241803914368, 12.476,  0.799, Y
604949923212906880, 19.302,  2.303, Y
604921679508385664, 14.659,  0.908, Y
604903370063592192, 19.831,  2.365, Y
604911886983070720, 17.251,  1.710, Y
604950305466150144, 18.082,  2.205, Y
604933121300811520, 18.154,  1.990, Y
604898314886415744, 19.229,  2.122, Y
604916495483676416, 15.507,  1.239, Y
604919789722800256, 13.663,  0.768, Y
604915086734256000, 15.195,  1.154, Y
604931338890569344, 18.739,  2.219, Y
604906737317927296, 13.277,  0.748, Y
604916525547792256, 18.300,  2.365, Y
